Date,Name,Estimate EPS,EPS
2019.03.07,2018Q4,1.69,2.01
2019.05.30,2019Q1,1.82,1.89
2019.12.12,2019Q3,1.72,1.73
2020.03.05,2019Q4,2.06,2.1
2020.05.28,2020Q1,1.95,1.89
2020.09.24,2020Q2,2.84,3.04
2020.12.10,2020Q3,2.05,2.3
2021.03.04,2020Q4,2.45,2.14
2021.05.27,2021Q1,2.34,2.75
2021.09.23,2021Q2,3.57,3.9
2021.12.09,2021Q3,2.64,2.98
2022.03.03,2021Q4,2.74,2.92
2022.05.26,2022Q1,3.03,3.17
2022.09.22,2022Q2,4.17,4.2
2022.12.08,2022Q3,3.11,3.1
2023.03.02,2022Q4,3.21,3.3
2023.05.25,2023Q1,3.29,2.93
2023.09.26,2023Q2,4.79,4.86
2023.12.14,2023Q3,3.42,3.58
2024.03.07,2023Q4,3.62,3.92
2024.05.30,2024Q1,3.7,3.78
2024.09.05,2024Q2,5.08,5.29
2024.12.12,2024Q3,3.79,4.04
2025.03.06,2024Q4,4.11,4.02
2025.05.29,2025Q1,4.24,4.28
2025.07.15,2025Q2,4.23,4.28
2025.10.15,2025Q3,5.81,5.87
2026.01.14,2025Q4,4.28,4.5
2026.04.14,2026Q1,4.54,4.58
2026.07.14,2026Q2,4.9,
2026.10.14,2026Q3,6.48,
2027.01.14,2026Q4,4.95,
2027.04.14,2027Q1,5.04,
2027.07.14,2027Q2,5.39,
2027.10.14,2027Q3,7.12,
2028.01.14,2027Q4,5.44,
2028.04.14,2028Q1,5.54,
2028.07.14,2028Q2,5.93,
2028.10.14,2028Q3,7.83,
2029.01.14,2028Q4,5.98,
2029.04.14,2029Q1,6.09,
