,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,6735000000.0,2405000000.0,1121000000.0,3115000000.0,
Repurchase Of Capital Stock,-1923000000.0,-1590000000.0,-1412000000.0,-4108000000.0,
Repayment Of Debt,-950000000.0,-750000000.0,0.0,-312000000.0,
Issuance Of Debt,2441000000.0,0.0,0.0,991000000.0,
Capital Expenditure,-974000000.0,-636000000.0,-546000000.0,-450000000.0,
Interest Paid Supplemental Data,91000000.0,72000000.0,84000000.0,85000000.0,
Income Tax Paid Supplemental Data,884000000.0,1386000000.0,523000000.0,685000000.0,
End Cash Position,5556000000.0,3811000000.0,3933000000.0,4835000000.0,
Beginning Cash Position,3811000000.0,3933000000.0,4835000000.0,2535000000.0,
Changes In Cash,1745000000.0,-122000000.0,-902000000.0,2300000000.0,
Financing Cash Flow,-431000000.0,-2062000000.0,-1146000000.0,-3264000000.0,
Cash Flow From Continuing Financing Activities,-431000000.0,-2062000000.0,-1146000000.0,-3264000000.0,
Net Other Financing Charges,-284000000.0,-1000000.0,-2000000.0,-2000000.0,
Proceeds From Stock Option Exercised,285000000.0,279000000.0,268000000.0,167000000.0,
Net Common Stock Issuance,-1923000000.0,-1590000000.0,-1412000000.0,-4108000000.0,
Common Stock Payments,-1923000000.0,-1590000000.0,-1412000000.0,-4108000000.0,
Net Issuance Payments Of Debt,1491000000.0,-750000000.0,0.0,679000000.0,
Net Short Term Debt Issuance,,,,,0.0
Short Term Debt Issuance,,,,,0.0
Net Long Term Debt Issuance,1491000000.0,-750000000.0,0.0,679000000.0,
Long Term Debt Payments,-950000000.0,-750000000.0,0.0,-312000000.0,
Long Term Debt Issuance,2441000000.0,0.0,0.0,991000000.0,
Investing Cash Flow,-5533000000.0,-1101000000.0,-1423000000.0,1999000000.0,
Cash From Discontinued Investing Activities,1318000000.0,0.0,0.0,,
Cash Flow From Continuing Investing Activities,-6851000000.0,-1101000000.0,-1423000000.0,1999000000.0,
Net Other Investing Changes,10000000.0,-115000000.0,-11000000.0,-11000000.0,
Net Investment Purchase And Sale,-4127000000.0,198000000.0,-746000000.0,1638000000.0,
Sale Of Investment,1845000000.0,2032000000.0,2987000000.0,4310000000.0,
Purchase Of Investment,-5972000000.0,-1834000000.0,-3733000000.0,-2672000000.0,
Net Business Purchase And Sale,-1760000000.0,-548000000.0,-131000000.0,822000000.0,
Sale Of Business,,0.0,0.0,2366000000.0,0.0
Purchase Of Business,-1760000000.0,-548000000.0,-131000000.0,-1544000000.0,
Net PPE Purchase And Sale,-974000000.0,-636000000.0,-546000000.0,-450000000.0,
Purchase Of PPE,-974000000.0,-636000000.0,-546000000.0,-450000000.0,
Operating Cash Flow,7709000000.0,3041000000.0,1667000000.0,3565000000.0,
Cash From Discontinued Operating Activities,1216000000.0,0.0,0.0,,
Cash Flow From Continuing Operating Activities,6493000000.0,3041000000.0,1667000000.0,3565000000.0,
Change In Working Capital,-2378000000.0,-2098000000.0,-3049000000.0,-1846000000.0,
Change In Other Working Capital,,108000000.0,-107000000.0,366000000.0,
Change In Payables And Accrued Expense,-57000000.0,886000000.0,-740000000.0,1477000000.0,
Change In Accrued Expense,-467000000.0,883000000.0,-221000000.0,546000000.0,
Change In Payable,410000000.0,3000000.0,-519000000.0,931000000.0,
Change In Account Payable,410000000.0,3000000.0,-519000000.0,931000000.0,
Change In Prepaid Assets,-11000000.0,339000000.0,-390000000.0,-2010000000.0,
Change In Inventory,-2189000000.0,-1458000000.0,-580000000.0,-1401000000.0,
Change In Receivables,-121000000.0,-1865000000.0,-1339000000.0,-278000000.0,
Changes In Account Receivables,-121000000.0,-1865000000.0,-1339000000.0,-278000000.0,
Other Non Cash Items,53000000.0,190000000.0,45000000.0,253000000.0,
Stock Based Compensation,1638000000.0,1407000000.0,1384000000.0,1081000000.0,
Deferred Tax,248000000.0,-1163000000.0,-1019000000.0,-1505000000.0,
Deferred Income Tax,248000000.0,-1163000000.0,-1019000000.0,-1505000000.0,
Depreciation Amortization Depletion,3004000000.0,3064000000.0,3453000000.0,4262000000.0,
Depreciation And Amortization,3004000000.0,3064000000.0,3453000000.0,4262000000.0,
Amortization Cash Flow,2254000000.0,2393000000.0,2811000000.0,3548000000.0,
Amortization Of Intangibles,2254000000.0,2393000000.0,2811000000.0,3548000000.0,
Depreciation,750000000.0,671000000.0,642000000.0,714000000.0,
Operating Gains Losses,-341000000.0,,-1000000.0,78000000.0,-15000000.0
Earnings Losses From Equity Investments,,,-1000000.0,62000000.0,-56000000.0
Gain Loss On Investment Securities,-341000000.0,,-1000000.0,62000000.0,-56000000.0
Gain Loss On Sale Of PPE,,,11000000.0,16000000.0,34000000.0
Net Income From Continuing Operations,4269000000.0,1641000000.0,854000000.0,1320000000.0,
