,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,945400000.0,937900000.0,929300000.0,915800000.0
Ordinary Shares Number,715200000.0,722700000.0,731300000.0,744800000.0
Share Issued,1660600000.0,1660600000.0,1660600000.0,1660600000.0
Net Debt,37339000000.0,34766000000.0,33319700000.0,30913500000.0
Total Debt,51948000000.0,53091000000.0,48699000000.0,49349100000.0
Tangible Book Value,-6941000000.0,-7746000000.0,-8903800000.0,-7383500000.0
Invested Capital,34628000000.0,34639000000.0,29900100000.0,31021700000.0
Working Capital,738000000.0,1127000000.0,1622100000.0,3128500000.0
Net Tangible Assets,-6941000000.0,-7746000000.0,-8903800000.0,-7383500000.0
Capital Lease Obligations,13524000000.0,13746000000.0,12795500000.0,13726400000.0
Common Stock Equity,-3796000000.0,-4706000000.0,-6003400000.0,-4601000000.0
Total Capitalization,34628000000.0,32447000000.0,29900100000.0,31021700000.0
Total Equity Gross Minority Interest,-3797000000.0,-4707000000.0,-6003400000.0,-4601000000.0
Stockholders Equity,-3796000000.0,-4706000000.0,-6003400000.0,-4601000000.0
Gains Losses Not Affecting Retained Earnings,-2553000000.0,-2456000000.0,-2486600000.0,-2573700000.0
Other Equity Adjustments,-2553000000.0,-2456000000.0,-2486600000.0,-2573700000.0
Treasury Stock,77375000000.0,74640000000.0,71624400000.0,67810200000.0
Retained Earnings,66834000000.0,63480000000.0,59543900000.0,57534700000.0
Additional Paid In Capital,9281000000.0,8893000000.0,8547100000.0,8231600000.0
Capital Stock,17000000.0,17000000.0,16600000.0,16600000.0
Common Stock,17000000.0,17000000.0,16600000.0,16600000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,58979000000.0,60854000000.0,56439000000.0,58455300000.0
Total Non Current Liabilities Net Minority Interest,55118000000.0,53995000000.0,52636900000.0,54435300000.0
Other Non Current Liabilities,770000000.0,950000000.0,1051800000.0,1081000000.0
Tradeand Other Payables Non Current,344000000.0,363000000.0,791900000.0,1896800000.0
Non Current Deferred Liabilities,2692000000.0,2471000000.0,2755300000.0,2813900000.0
Non Current Deferred Revenue,778000000.0,790000000.0,757800000.0,738300000.0
Non Current Deferred Taxes Liabilities,1914000000.0,1681000000.0,1997500000.0,2075600000.0
Long Term Debt And Capital Lease Obligation,51312000000.0,50211000000.0,48037900000.0,48643600000.0
Long Term Capital Lease Obligation,12888000000.0,13058000000.0,12134400000.0,13020900000.0
Long Term Debt,38424000000.0,37153000000.0,35903500000.0,35622700000.0
Current Liabilities,3861000000.0,6859000000.0,3802100000.0,4020000000.0
Current Debt And Capital Lease Obligation,636000000.0,2880000000.0,661100000.0,705500000.0
Current Capital Lease Obligation,636000000.0,688000000.0,661100000.0,705500000.0
Current Debt,,2192000000.0,,
Other Current Borrowings,,2192000000.0,,
Payables And Accrued Expenses,3225000000.0,3979000000.0,3141000000.0,3314500000.0
Current Accrued Expenses,1611000000.0,1903000000.0,1630800000.0,1710300000.0
Interest Payable,482000000.0,469000000.0,393400000.0,363300000.0
Payables,1614000000.0,2076000000.0,1510200000.0,1604200000.0
Total Tax Payable,585000000.0,973000000.0,530000000.0,597400000.0
Income Tax Payable,361000000.0,705000000.0,274900000.0,360700000.0
Accounts Payable,1029000000.0,1103000000.0,980200000.0,1006800000.0
Total Assets,55182000000.0,56147000000.0,50435600000.0,53854300000.0
Total Non Current Assets,50584000000.0,48159000000.0,45011400000.0,46705800000.0
Other Non Current Assets,6095000000.0,5618000000.0,4707200000.0,4449500000.0
Investments And Advances,2710000000.0,1080000000.0,1064500000.0,1201200000.0
Long Term Equity Investment,2710000000.0,1080000000.0,1064500000.0,1201200000.0
Investmentsin Associatesat Cost,,,1064500000.0,1201200000.0
Goodwill And Other Intangible Assets,3145000000.0,3040000000.0,2900400000.0,2782500000.0
Goodwill,3145000000.0,3040000000.0,2900400000.0,2782500000.0
Net PPE,38634000000.0,38421000000.0,36339300000.0,38272600000.0
Accumulated Depreciation,-18882000000.0,-18662000000.0,-17264000000.0,-17196000000.0
Gross PPE,57516000000.0,57083000000.0,53603300000.0,55468600000.0
Other Properties,16359000000.0,16621000000.0,15490800000.0,17031700000.0
Machinery Furniture Equipment,,,2498600000.0,3032000000.0
Buildings And Improvements,33904000000.0,33381000000.0,31426200000.0,31949300000.0
Land And Improvements,7253000000.0,7081000000.0,6686300000.0,6487600000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,4599000000.0,7986000000.0,5424200000.0,7148500000.0
Other Current Assets,1075000000.0,866000000.0,673400000.0,511300000.0
Prepaid Assets,,,,511300000.0
Inventory,56000000.0,53000000.0,52000000.0,55600000.0
Receivables,2383000000.0,2488000000.0,2115000000.0,1872400000.0
Accounts Receivable,2383000000.0,2488000000.0,2115000000.0,1872400000.0
Cash Cash Equivalents And Short Term Investments,1085000000.0,4579000000.0,2583800000.0,4709200000.0
Cash And Cash Equivalents,1085000000.0,4579000000.0,2583800000.0,4709200000.0
